2.3976,1.5328,1.9044,1.1937,2.4184,1.8649,1
2.3936,1.4804,1.9907,1.2732,2.2719,1.8110,1
2.2880,1.4585,1.9867,1.2451,2.3389,1.8099,1
2.2904,1.4766,1.8876,1.2706,2.2966,1.7744,1
1.1201,0.0587,1.3154,5.3783,3.1849,2.4276,2
0.9913,0.1524,1.2700,5.3808,3.0714,2.3331,2
1.0915,0.1881,1.1387,5.3701,3.2561,2.3383,2
1.0535,0.1229,1.2743,5.3226,3.0950,2.3193,2
1.4871,2.3448,0.9918,2.3160,1.6783,5.0850,3
1.3312,2.2553,0.9618,2.4702,1.7272,5.0645,3
1.3646,2.2945,1.0562,2.4763,1.8051,5.1470,3
1.4392,2.2296,1.1278,2.4230,1.7259,5.0876,3
2.9364,1.5233,4.6109,1.3160,4.2700,6.8749,4
2.9034,1.4640,4.6061,1.4598,4.2912,6.9142,4
3.0181,1.4918,4.7051,1.3521,4.2623,6.7966,4
2.9374,1.4896,4.7219,1.3977,4.1863,6.8336,4
