0.1625,0.4562,0.401,0.6957,0.5632
0.5398,0.838,0.3796,0.2212,0.9505
0.9233,0.8231,0.9032,0.6254,0.3182
0.4371,0.5421,0.9434,0.5133,0.2659
0.5401,0.0924,0.474,0.5757,0.0611
0.6984,0.2953,0.0178,0.2872,0.3328
0.0021,0.6022,0.82,0.8927,0.2924
0.8366,0.1828,0.0574,0.0926,0.4025
0.8894,0.7332,0.0901,0.2925,0.0341
0.0198,0.5489,0.6967,0.8219,0.2875
0.0984,0.1562,0.1471,0.994,0.2196
0.3742,0.9251,0.0576,0.0678,0.5659
0.9675,0.2022,0.0634,0.9731,0.8701
0.6196,0.0084,0.7228,0.9228,0.255
0.67,0.6891,0.0337,0.9587,0.5918
